Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
33.0000 0.0122 -0.1186 0.9200 4.1558 19.9136
34.0000 0.0163 -0.1186 0.3700 3.6091 18.0473
34.0000 0.0163 -0.1186 0.6450 3.6057 19.3163
34.0000 0.0163 -0.1186 0.9200 3.6097 20.1281
35.0000 0.0204 -0.1186 0.3700 3.0630 18.2675
35.0000 0.0204 -0.1186 0.6450 3.0602 19.5297
35.0000 0.0204 -0.1186 0.9200 3.0635 20.3399
36.0000 0.0244 -0.1186 0.3700 2.5168 18.4846
36.0000 0.0244 -0.1186 0.6450 2.5145 19.7403
36.0000 0.0244 -0.1186 0.9200 2.5173 20.5489
37.0000 0.0285 -0.1186 0.3700 1.9705 18.6987
37.0000 0.0285 -0.1186 0.6450 1.9688 19.9480
37.0000 0.0285 -0.1186 0.9200 1.9710 20.7551
38.0000 0.0326 -0.1186 0.3700 1.4240 18.9099
38.0000 0.0326 -0.1186 0.6450 1.4228 20.1529
38.0000 0.0326 -0.1186 0.9200 1.4245 20.9586
39.0000 0.0366 -0.1186 0.3700 0.8774 19.1183
39.0000 0.0366 -0.1186 0.6450 0.8767 20.3550
39.0000 0.0366 -0.1186 0.9200 0.8777 21.1593
40.0000 0.0407 -0.1186 0.3700 0.3304 19.3239
40.0000 0.0407 -0.1186 0.6450 0.3302 20.5543
40.0000 0.0407 -0.1186 0.9200 0.3306 21.3573
41.0000 0.0448 -0.1186 0.3700 -0.2168 19.5269
41.0000 0.0448 -0.1186 0.6450 -0.2166 20.7509
41.0000 0.0448 -0.1186 0.9200 -0.2169 21.5526
42.0000 0.0488 -0.1186 0.3700 -0.7645 19.7275
42.0000 0.0488 -0.1186 0.6450 -0.7638 20.9449
42.0000 0.0488 -0.1186 0.9200 -0.7648 21.7464
43.0000 0.0529 -0.1186 0.3700 -1.3125 19.9239
43.0000 0.0529 -0.1186 0.6450 -1.3115 21.1362
43.0000 0.0529 -0.1186 0.9200 -1.3133 21.9379
44.0000 0.0570 -0.1186 0.3700 -1.8606 20.1139
44.0000 0.0570 -0.1186 0.6450 -1.8597 21.3251
44.0000 0.0570 -0.1186 0.9200 -1.8624 22.1266
45.0000 0.0611 -0.1186 0.3700 -2.4093 20.3028
45.0000 0.0611 -0.1186 0.6450 -2.4082 21.5100
45.0000 0.0611 -0.1186 0.9200 -2.4123 22.3140
46.0000 0.0651 -0.1186 0.3700 -2.9582 20.4872
46.0000 0.0651 -0.1186 0.6450 -2.9572 21.6904
46.0000 0.0651 -0.1186 0.9200 -2.9616 22.4956
47.0000 0.0692 -0.1186 0.3700 -3.5072 20.6673
47.0000 0.0692 -0.1186 0.6450 -3.5071 21.8707
47.0000 0.0692 -0.1186 0.9200 -3.5134 22.6753
48.0000 0.0733 -0.1186 0.3700 -4.0569 20.8446
48.0000 0.0733 -0.1186 0.6450 -4.0573 22.0467
48.0000 0.0733 -0.1186 0.9200 -4.0643 22.8517
49.0000 0.0773 -0.1186 0.3700 -4.6063 21.0168
49.0000 0.0773 -0.1186 0.6450 -4.6071 22.2180
49.0000 0.0773 -0.1186 0.9200 -4.6176 23.0280
50.0000 0.0814 -0.1186 0.3700 -5.1561 21.1865
50.0000 0.0814 -0.1186 0.6450 -5.1585 22.3884
50.0000 0.0814 -0.1186 0.9200 -5.1695 23.2003
51.0000 0.0855 -0.1186 0.3700 -5.7059 21.3520
51.0000 0.0855 -0.1186 0.6450 -5.7109 22.5541
51.0000 0.0855 -0.1186 0.9200 -5.7241 23.3658
52.0000 0.0895 -0.1186 0.3700 -6.2562 21.5139
52.0000 0.0895 -0.1186 0.6450 -6.2640 22.7188
52.0000 0.0895 -0.1186 0.9200 -6.2763 23.5269
53.0000 0.0936 -0.1186 0.3700 -6.8024 21.6576
53.0000 0.0936 -0.1186 0.6450 -6.8162 22.8766
53.0000 0.0936 -0.1186 0.9200 0.0000 0.0000
54.0000 0.0977 -0.1186 0.3700 -7.3527 21.8106
54.0000 0.0977 -0.1186 0.6450 0.0000 0.0000
54.0000 0.0977 -0.1186 0.9200 0.0000 0.0000
55.0000 0.1018 -0.1186 0.3700 0.0000 0.0000
55.0000 0.1018 -0.1186 0.6450 0.0000 0.0000
55.0000 0.1018 -0.1186 0.9200 0.0000 0.0000
56.0000 0.1058 -0.1186 0.3700 0.0000 0.0000
56.0000 0.1058 -0.1186 0.6450 0.0000 0.0000
56.0000 0.1058 -0.1186 0.9200 0.0000 0.0000
57.0000 0.1099 -0.1186 0.3700 0.0000 0.0000
57.0000 0.1099 -0.1186 0.6450 0.0000 0.0000
57.0000 0.1099 -0.1186 0.9200 0.0000 0.0000
58.0000 0.1140 -0.1186 0.3700 0.0000 0.0000
58.0000 0.1140 -0.1186 0.6450 0.0000 0.0000
58.0000 0.1140 -0.1186 0.9200 0.0000 0.0000
59.0000 0.1180 -0.1186 0.3700 0.0000 0.0000
59.0000 0.1180 -0.1186 0.6450 0.0000 0.0000
59.0000 0.1180 -0.1186 0.9200 0.0000 0.0000
60.0000 0.1221 -0.1186 0.3700 0.0000 0.0000
60.0000 0.1221 -0.1186 0.6450 0.0000 0.0000
60.0000 0.1221 -0.1186 0.9200 0.0000 0.0000
61.0000 -0.1160 -0.1151 0.3700 0.0000 0.0000
61.0000 -0.1160 -0.1151 0.6450 0.0000 0.0000
61.0000 -0.1160 -0.1151 0.9200 0.0000 0.0000
62.0000 -0.1119 -0.1151 0.3700 0.0000 0.0000
62.0000 -0.1119 -0.1151 0.6450 0.0000 0.0000
62.0000 -0.1119 -0.1151 0.9200 0.0000 0.0000
63.0000 -0.1079 -0.1151 0.3700 0.0000 0.0000
63.0000 -0.1079 -0.1151 0.6450 0.0000 0.0000
63.0000 -0.1079 -0.1151 0.9200 0.0000 0.0000
64.0000 -0.1038 -0.1151 0.3700 19.6096 9.4302
64.0000 -0.1038 -0.1151 0.6450 0.0000 0.0000
64.0000 -0.1038 -0.1151 0.9200 0.0000 0.0000
65.0000 -0.0997 -0.1151 0.3700 19.0721 9.7713
65.0000 -0.0997 -0.1151 0.6450 19.1159 11.3487
65.0000 -0.0997 -0.1151 0.9200 19.1587 12.2444
66.0000 -0.0957 -0.1151 0.3700 18.5418 10.1137
66.0000 -0.0957 -0.1151 0.6450 18.5656 11.6702
66.0000 -0.0957 -0.1151 0.9200 18.6036 12.5658
67.0000 -0.0916 -0.1151 0.3700 18.0029 10.4462
67.0000 -0.0916 -0.1151 0.6450 18.0133 11.9869
67.0000 -0.0916 -0.1151 0.9200 18.0458 12.8763
68.0000 -0.0875 -0.1151 0.3700 17.4518 10.7699
68.0000 -0.0875 -0.1151 0.6450 17.4583 12.2965
68.0000 -0.0875 -0.1151 0.9200 17.4894 13.1835
69.0000 -0.0834 -0.1151 0.3700 16.8984 11.0869
69.0000 -0.0834 -0.1151 0.6450 16.8998 12.5996
69.0000 -0.0834 -0.1151 0.9200 16.9296 13.4831
70.0000 -0.0794 -0.1151 0.3700 16.3443 11.3984
70.0000 -0.0794 -0.1151 0.6450 16.3454 12.9006
70.0000 -0.0794 -0.1151 0.9200 16.3715 13.7786
71.0000 -0.0753 -0.1151 0.3700 15.7940 11.7079
71.0000 -0.0753 -0.1151 0.6450 15.7885 13.1955
71.0000 -0.0753 -0.1151 0.9200 15.8109 14.0685
72.0000 -0.0712 -0.1151 0.3700 15.2418 12.0122
72.0000 -0.0712 -0.1151 0.6450 15.2338 13.4870
72.0000 -0.0712 -0.1151 0.9200 15.2545 14.3566
73.0000 -0.0672 -0.1151 0.3700 14.6869 12.3095
73.0000 -0.0672 -0.1151 0.6450 14.6799 13.7746
73.0000 -0.0672 -0.1151 0.9200 14.6989 14.6402
74.0000 -0.0631 -0.1151 0.3700 14.1332 12.6028
74.0000 -0.0631 -0.1151 0.6450 14.1250 14.0567
74.0000 -0.0631 -0.1151 0.9200 14.1420 14.9188
75.0000 -0.0590 -0.1151 0.3700 13.5810 12.8930
75.0000 -0.0590 -0.1151 0.6450 13.5703 14.3345
75.0000 -0.0590 -0.1151 0.9200 13.5864 15.1936
76.0000 -0.0549 -0.1151 0.3700 13.0276 13.1774
76.0000 -0.0549 -0.1151 0.6450 13.0168 14.6086
76.0000 -0.0549 -0.1151 0.9200 13.0320 15.4647
77.0000 -0.0509 -0.1151 0.3700 12.4746 13.4572
77.0000 -0.0509 -0.1151 0.6450 12.4642 14.8789
77.0000 -0.0509 -0.1151 0.9200 12.4785 15.7322
78.0000 -0.0468 -0.1151 0.3700 11.9226 13.7334
78.0000 -0.0468 -0.1151 0.6450 11.9125 15.1456
78.0000 -0.0468 -0.1151 0.9200 11.9259 15.9959
79.0000 -0.0427 -0.1151 0.3700 11.3715 14.0060
79.0000 -0.0427 -0.1151 0.6450 11.3615 15.4086
79.0000 -0.0427 -0.1151 0.9200 11.3740 16.2561
80.0000 -0.0387 -0.1151 0.3700 10.8212 14.2748
80.0000 -0.0387 -0.1151 0.6450 10.8112 15.6679
80.0000 -0.0387 -0.1151 0.9200 10.8230 16.5127
81.0000 -0.0346 -0.1151 0.3700 10.2715 14.5401
81.0000 -0.0346 -0.1151 0.6450 10.2617 15.9238
81.0000 -0.0346 -0.1151 0.9200 10.2726 16.7659
82.0000 -0.0305 -0.1151 0.3700 9.7224 14.8017
82.0000 -0.0305 -0.1151 0.6450 9.7127 16.1761
82.0000 -0.0305 -0.1151 0.9200 9.7230 17.0156
83.0000 -0.0265 -0.1151 0.3700 9.1738 15.0597
83.0000 -0.0265 -0.1151 0.6450 9.1644 16.4250
83.0000 -0.0265 -0.1151 0.9200 9.1739 17.2620
84.0000 -0.0224 -0.1151 0.3700 8.6258 15.3142
84.0000 -0.0224 -0.1151 0.6450 8.6166 16.6706
84.0000 -0.0224 -0.1151 0.9200 8.6255 17.5051
85.0000 -0.0183 -0.1151 0.3700 8.0781 15.5652
85.0000 -0.0183 -0.1151 0.6450 8.0693 16.9129
85.0000 -0.0183 -0.1151 0.9200 8.0775 17.7449
86.0000 -0.0142 -0.1151 0.3700 7.5309 15.8128
86.0000 -0.0142 -0.1151 0.6450 7.5225 17.1519
86.0000 -0.0142 -0.1151 0.9200 7.5301 17.9817
87.0000 -0.0102 -0.1151 0.3700 6.9840 16.0570
87.0000 -0.0102 -0.1151 0.6450 6.9761 17.3878
87.0000 -0.0102 -0.1151 0.9200 6.9831 18.2153
88.0000 -0.0061 -0.1151 0.3700 6.4374 16.2979
88.0000 -0.0061 -0.1151 0.6450 6.4300 17.6206
88.0000 -0.0061 -0.1151 0.9200 6.4365 18.4459
89.0000 -0.0020 -0.1151 0.3700 5.8910 16.5355
89.0000 -0.0020 -0.1151 0.6450 5.8843 17.8503
89.0000 -0.0020 -0.1151 0.9200 5.8902 18.6736
90.0000 0.0020 -0.1151 0.3700 5.3449 16.7699
90.0000 0.0020 -0.1151 0.6450 5.3388 18.0770
90.0000 0.0020 -0.1151 0.9200 5.3442 18.8983
91.0000 0.0061 -0.1151 0.3700 4.7989 17.0010
91.0000 0.0061 -0.1151 0.6450 4.7935 18.3008
91.0000 0.0061 -0.1151 0.9200 4.7984 19.1201
92.0000 0.0102 -0.1151 0.3700 4.2531 17.2290
92.0000 0.0102 -0.1151 0.6450 4.2484 18.5216
92.0000 0.0102 -0.1151 0.9200 4.2527 19.3390
93.0000 0.0142 -0.1151 0.3700 3.7073 17.4539
93.0000 0.0142 -0.1151 0.6450 3.7033 18.7395
93.0000 0.0142 -0.1151 0.9200 3.7071 19.5552
94.0000 0.0183 -0.1151 0.3700 3.1615 17.6757
94.0000 0.0183 -0.1151 0.6450 3.1582 18.9545
94.0000 0.0183 -0.1151 0.9200 3.1615 19.7685
95.0000 0.0224 -0.1151 0.3700 2.6157 17.8944
95.0000 0.0224 -0.1151 0.6450 2.6130 19.1666
95.0000 0.0224 -0.1151 0.9200 2.6158 19.9790
96.0000 0.0265 -0.1151 0.3700 2.0698 18.1100
96.0000 0.0265 -0.1151 0.6450 2.0678 19.3759
96.0000 0.0265 -0.1151 0.9200 2.0700 20.1867
97.0000 0.0305 -0.1151 0.3700 1.5238 18.3227
97.0000 0.0305 -0.1151 0.6450 1.5224 19.5824
97.0000 0.0305 -0.1151 0.9200 1.5240 20.3917
98.0000 0.0346 -0.1151 0.3700 0.9776 18.5324
98.0000 0.0346 -0.1151 0.6450 0.9767 19.7860
98.0000 0.0346 -0.1151 0.9200 0.9778 20.5940
99.0000 0.0387 -0.1151 0.3700 0.4312 18.7391
99.0000 0.0387 -0.1151 0.6450 0.4308 19.9868
99.0000 0.0387 -0.1151 0.9200 0.4313 20.7934
100.0000 0.0427 -0.1151 0.3700 -0.1155 18.9430
100.0000 0.0427 -0.1151 0.6450 -0.1154 20.1849
100.0000 0.0427 -0.1151 0.9200 -0.1156 20.9902
101.0000 0.0468 -0.1151 0.3700 -0.6626 19.1442
101.0000 0.0468 -0.1151 0.6450 -0.6621 20.3801
101.0000 0.0468 -0.1151 0.9200 -0.6628 21.1842
102.0000 0.0509 -0.1151 0.3700 -1.2101 19.3427
102.0000 0.0509 -0.1151 0.6450 -1.2091 20.5726
102.0000 0.0509 -0.1151 0.9200 -1.2105 21.3755
103.0000 0.0549 -0.1151 0.3700 -1.7581 19.5388
103.0000 0.0549 -0.1151 0.6450 -1.7566 20.7623
103.0000 0.0549 -0.1151 0.9200 -1.7588 21.5647
104.0000 0.0590 -0.1151 0.3700 -2.3065 19.7309
104.0000 0.0590 -0.1151 0.6450 -2.3047 20.9495
104.0000 0.0590 -0.1151 0.9200 -2.3078 21.7523
105.0000 0.0631 -0.1151 0.3700 -2.8550 19.9169
105.0000 0.0631 -0.1151 0.6450 -2.8535 21.1343
105.0000 0.0631 -0.1151 0.9200 -2.8575 21.9369
106.0000 0.0672 -0.1151 0.3700 -3.4041 20.1016
106.0000 0.0672 -0.1151 0.6450 -3.4025 21.3151
106.0000 0.0672 -0.1151 0.9200 -3.4081 22.1201
107.0000 0.0712 -0.1151 0.3700 -3.9537 20.2840
107.0000 0.0712 -0.1151 0.6450 -3.9522 21.4916
107.0000 0.0712 -0.1151 0.9200 -3.9583 22.2977
108.0000 0.0753 -0.1151 0.3700 -4.5028 20.4583
108.0000 0.0753 -0.1151 0.6450 -4.5021 21.6660
108.0000 0.0753 -0.1151 0.9200 -4.5103 22.4716
109.0000 0.0794 -0.1151 0.3700 -5.0519 20.6271
109.0000 0.0794 -0.1151 0.6450 -5.0540 21.8397
109.0000 0.0794 -0.1151 0.9200 -5.0631 22.6466
110.0000 0.0834 -0.1151 0.3700 -5.6028 20.7977
110.0000 0.0834 -0.1151 0.6450 -5.6051 22.0081
110.0000 0.0834 -0.1151 0.9200 -5.6147 22.8163
111.0000 0.0875 -0.1151 0.3700 -6.1535 20.9637
111.0000 0.0875 -0.1151 0.6450 -6.1577 22.1744
111.0000 0.0875 -0.1151 0.9200 -6.1690 22.9862
112.0000 0.0916 -0.1151 0.3700 -6.7038 21.1234
112.0000 0.0916 -0.1151 0.6450 -6.7103 22.3357
112.0000 0.0916 -0.1151 0.9200 -6.7278 23.1467
113.0000 0.0957 -0.1151 0.3700 -7.2514 21.2737
113.0000 0.0957 -0.1151 0.6450 -7.2624 22.4922
113.0000 0.0957 -0.1151 0.9200 0.0000 0.0000
114.0000 0.0997 -0.1151 0.3700 -7.7989 21.4180
114.0000 0.0997 -0.1151 0.6450 0.0000 0.0000
114.0000 0.0997 -0.1151 0.9200 0.0000 0.0000
115.0000 0.1038 -0.1151 0.3700 -8.3504 21.5568
115.0000 0.1038 -0.1151 0.6450 0.0000 0.0000
115.0000 0.1038 -0.1151 0.9200 0.0000 0.0000
116.0000 0.1079 -0.1151 0.3700 0.0000 0.0000
116.0000 0.1079 -0.1151 0.6450 0.0000 0.0000
116.0000 0.1079 -0.1151 0.9200 0.0000 0.0000
117.0000 0.1119 -0.1151 0.3700 0.0000 0.0000
117.0000 0.1119 -0.1151 0.6450 0.0000 0.0000
117.0000 0.1119 -0.1151 0.9200 0.0000 0.0000
118.0000 0.1160 -0.1151 0.3700 0.0000 0.0000
118.0000 0.1160 -0.1151 0.6450 0.0000 0.0000
118.0000 0.1160 -0.1151 0.9200 0.0000 0.0000
119.0000 0.1201 -0.1151 0.3700 0.0000 0.0000
119.0000 0.1201 -0.1151 0.6450 0.0000 0.0000
119.0000 0.1201 -0.1151 0.9200 0.0000 0.0000
120.0000 0.1241 -0.1151 0.3700 0.0000 0.0000
120.0000 0.1241 -0.1151 0.6450 0.0000 0.0000
120.0000 0.1241 -0.1151 0.9200 0.0000 0.0000
121.0000 -0.1180 -0.1115 0.3700 0.0000 0.0000
121.0000 -0.1180 -0.1115 0.6450 0.0000 0.0000
121.0000 -0.1180 -0.1115 0.9200 0.0000 0.0000
122.0000 -0.1140 -0.1115 0.3700 0.0000 0.0000
122.0000 -0.1140 -0.1115 0.6450 0.0000 0.0000
122.0000 -0.1140 -0.1115 0.9200 0.0000 0.0000
123.0000 -0.1099 -0.1115 0.3700 20.2388 8.4202
123.0000 -0.1099 -0.1115 0.6450 0.0000 0.0000
123.0000 -0.1099 -0.1115 0.9200 0.0000 0.0000
124.0000 -0.1058 -0.1115 0.3700 19.7081 8.7703
124.0000 -0.1058 -0.1115 0.6450 19.7692 10.3794
124.0000 -0.1058 -0.1115 0.9200 0.0000 0.0000
125.0000 -0.1018 -0.1115 0.3700 19.1814 9.1192
125.0000 -0.1018 -0.1115 0.6450 19.2174 10.7129
125.0000 -0.1018 -0.1115 0.9200 19.2564 11.6161
126.0000 -0.0977 -0.1115 0.3700 18.6512 9.4626
126.0000 -0.0977 -0.1115 0.6450 18.6661 11.0376
126.0000 -0.0977 -0.1115 0.9200 18.7008 11.9361
127.0000 -0.0936 -0.1115 0.3700 18.1025 9.7946
127.0000 -0.0936 -0.1115 0.6450 18.1097 11.3544
127.0000 -0.0936 -0.1115 0.9200 18.1418 12.2492
128.0000 -0.0895 -0.1115 0.3700 17.5500 10.1197
128.0000 -0.0895 -0.1115 0.6450 17.5522 11.6655
128.0000 -0.0895 -0.1115 0.9200 17.5856 12.5581
129.0000 -0.0855 -0.1115 0.3700 16.9982 10.4399
129.0000 -0.0855 -0.1115 0.6450 16.9959 11.9725
129.0000 -0.0855 -0.1115 0.9200 17.0259 12.8605
130.0000 -0.0814 -0.1115 0.3700 16.4468 10.7561
130.0000 -0.0814 -0.1115 0.6450 16.4413 12.2759
130.0000 -0.0814 -0.1115 0.9200 16.4636 13.1572
131.0000 -0.0773 -0.1115 0.3700 15.8939 11.0673
131.0000 -0.0773 -0.1115 0.6450 15.8866 12.5748
131.0000 -0.0773 -0.1115 0.9200 15.9072 13.4522
132.0000 -0.0733 -0.1115 0.3700 15.3365 11.3705
132.0000 -0.0733 -0.1115 0.6450 15.3305 12.8680
132.0000 -0.0733 -0.1115 0.9200 15.3491 13.7416
133.0000 -0.0692 -0.1115 0.3700 14.7830 11.6714
133.0000 -0.0692 -0.1115 0.6450 14.7745 13.1566
133.0000 -0.0692 -0.1115 0.9200 14.7923 14.0271
134.0000 -0.0651 -0.1115 0.3700 14.2299 11.9679
134.0000 -0.0651 -0.1115 0.6450 14.2189 13.4408
134.0000 -0.0651 -0.1115 0.9200 14.2357 14.3082
135.0000 -0.0611 -0.1115 0.3700 13.6757 12.2588
135.0000 -0.0611 -0.1115 0.6450 13.6644 13.7210
135.0000 -0.0611 -0.1115 0.9200 13.6802 14.5854
136.0000 -0.0570 -0.1115 0.3700 13.1219 12.5452
136.0000 -0.0570 -0.1115 0.6450 13.1109 13.9975
136.0000 -0.0570 -0.1115 0.9200 13.1258 14.8588
137.0000 -0.0529 -0.1115 0.3700 12.5693 12.8278
137.0000 -0.0529 -0.1115 0.6450 12.5584 14.2701
137.0000 -0.0529 -0.1115 0.9200 12.5723 15.1284
138.0000 -0.0488 -0.1115 0.3700 12.0176 13.1066
138.0000 -0.0488 -0.1115 0.6450 12.0066 14.5389
138.0000 -0.0488 -0.1115 0.9200 12.0197 15.3942
139.0000 -0.0448 -0.1115 0.3700 11.4667 13.3816
139.0000 -0.0448 -0.1115 0.6450 11.4557 14.8039
139.0000 -0.0448 -0.1115 0.9200 11.4678 15.6564
