Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
33.0000 -0.0285 -0.1593 0.9200 11.7511 23.8255
34.0000 -0.0244 -0.1593 0.3700 11.4281 22.5786
34.0000 -0.0244 -0.1593 0.6450 11.1976 23.3363
34.0000 -0.0244 -0.1593 0.9200 11.1384 24.0079
35.0000 -0.0204 -0.1593 0.3700 10.8802 22.8813
35.0000 -0.0204 -0.1593 0.6450 10.5876 23.5197
35.0000 -0.0204 -0.1593 0.9200 10.5382 24.1992
36.0000 -0.0163 -0.1593 0.3700 10.2730 23.0651
36.0000 -0.0163 -0.1593 0.6450 9.9894 23.7123
36.0000 -0.0163 -0.1593 0.9200 9.9476 24.3973
37.0000 -0.0122 -0.1593 0.3700 9.7557 23.4648
37.0000 -0.0122 -0.1593 0.6450 9.4005 23.9124
37.0000 -0.0122 -0.1593 0.9200 9.3643 24.6007
38.0000 -0.0081 -0.1593 0.3700 9.1531 23.6933
38.0000 -0.0081 -0.1593 0.6450 8.8188 24.1189
38.0000 -0.0081 -0.1593 0.9200 8.7869 24.8087
39.0000 -0.0041 -0.1593 0.3700 8.5509 23.9138
39.0000 -0.0041 -0.1593 0.6450 8.2428 24.3310
39.0000 -0.0041 -0.1593 0.9200 8.2142 25.0205
40.0000 -0.0000 -0.1593 0.3700 7.9558 24.1437
40.0000 -0.0000 -0.1593 0.6450 7.6713 24.5484
40.0000 -0.0000 -0.1593 0.9200 7.6451 25.2359
41.0000 0.0041 -0.1593 0.3700 7.3673 24.3863
41.0000 0.0041 -0.1593 0.6450 7.1035 24.7711
41.0000 0.0041 -0.1593 0.9200 7.0789 25.4551
42.0000 0.0081 -0.1593 0.3700 6.7833 24.6407
42.0000 0.0081 -0.1593 0.6450 6.5385 24.9998
42.0000 0.0081 -0.1593 0.9200 6.5151 25.6784
43.0000 0.0122 -0.1593 0.3700 6.1979 24.8947
43.0000 0.0122 -0.1593 0.6450 5.9759 25.2354
43.0000 0.0122 -0.1593 0.9200 5.9531 25.9067
44.0000 0.0163 -0.1593 0.3700 5.5746 25.0281
44.0000 0.0163 -0.1593 0.6450 5.4149 25.4794
44.0000 0.0163 -0.1593 0.9200 5.3925 26.1410
45.0000 0.0204 -0.1593 0.3700 5.0144 25.2980
45.0000 0.0204 -0.1593 0.6450 4.8551 25.7339
45.0000 0.0204 -0.1593 0.9200 4.8328 26.3832
46.0000 0.0244 -0.1593 0.3700 4.4281 25.4895
46.0000 0.0244 -0.1593 0.6450 4.2960 26.0020
46.0000 0.0244 -0.1593 0.9200 4.2736 26.6356
47.0000 0.0285 -0.1593 0.3700 3.7458 25.2093
47.0000 0.0285 -0.1593 0.6450 3.7367 26.2876
47.0000 0.0285 -0.1593 0.9200 3.7143 26.9014
48.0000 0.0326 -0.1593 0.3700 3.1864 25.3771
48.0000 0.0326 -0.1593 0.6450 3.1763 26.5957
48.0000 0.0326 -0.1593 0.9200 3.1542 27.1853
49.0000 0.0366 -0.1593 0.3700 2.6047 25.9444
49.0000 0.0366 -0.1593 0.6450 2.6129 26.9277
49.0000 0.0366 -0.1593 0.9200 2.5923 27.4931
50.0000 0.0407 -0.1593 0.3700 2.0971 26.5982
50.0000 0.0407 -0.1593 0.6450 2.0373 27.2043
50.0000 0.0407 -0.1593 0.9200 2.0268 27.8306
51.0000 0.0448 -0.1593 0.3700 1.4937 26.4173
51.0000 0.0448 -0.1593 0.6450 1.4602 27.5471
51.0000 0.0448 -0.1593 0.9200 1.4537 28.1749
52.0000 0.0488 -0.1593 0.3700 0.8783 26.6154
52.0000 0.0488 -0.1593 0.6450 0.8549 27.5720
52.0000 0.0488 -0.1593 0.9200 0.8691 28.4734
53.0000 0.0529 -0.1593 0.3700 0.2765 27.1918
53.0000 0.0529 -0.1593 0.6450 0.3147 27.6640
53.0000 0.0529 -0.1593 0.9200 0.2571 28.3203
54.0000 0.0570 -0.1593 0.3700 -0.3018 26.7570
54.0000 0.0570 -0.1593 0.6450 -0.2429 27.7980
54.0000 0.0570 -0.1593 0.9200 -0.2760 28.6767
55.0000 0.0611 -0.1593 0.3700 -0.8654 26.5800
55.0000 0.0611 -0.1593 0.6450 -0.9324 28.5850
55.0000 0.0611 -0.1593 0.9200 -0.8237 28.6001
56.0000 0.0651 -0.1593 0.3700 -1.4432 27.3755
56.0000 0.0651 -0.1593 0.6450 -1.4781 28.8118
56.0000 0.0651 -0.1593 0.9200 -1.5032 29.1653
57.0000 0.0692 -0.1593 0.3700 -1.9552 27.0654
57.0000 0.0692 -0.1593 0.6450 -2.1271 28.5336
57.0000 0.0692 -0.1593 0.9200 -1.9576 28.3344
58.0000 0.0733 -0.1593 0.3700 -2.4986 26.9295
58.0000 0.0733 -0.1593 0.6450 -2.7262 28.7682
58.0000 0.0733 -0.1593 0.9200 -2.3860 28.0945
59.0000 0.0773 -0.1593 0.3700 -2.9976 27.2044
59.0000 0.0773 -0.1593 0.6450 -2.9223 26.0322
59.0000 0.0773 -0.1593 0.9200 -3.1991 28.9041
60.0000 0.0814 -0.1593 0.3700 -1.3403 16.0258
60.0000 0.0814 -0.1593 0.6450 -3.7565 28.3183
60.0000 0.0814 -0.1593 0.9200 -3.9219 30.2173
61.0000 0.0855 -0.1593 0.3700 0.0000 0.0000
61.0000 0.0855 -0.1593 0.6450 -3.6628 25.2173
